Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Opéra des Landes;Nouvelle-Aquitaine;Landes;40140;2001;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_40310_6411;43.7498040758, -1.3280117155
Semaine Lire Aux Éclats - Prix Bouilles de Lecteurs;Nouvelle-Aquitaine;Deux-Sèvres;79100;2014;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_79329_6573;46.9828628407, -0.199581467021
Festival Autour de l’orgue;Occitanie;Pyrénées-Orientales;66320;;Musique;Saison (21 juin - 5 septembre);FEST_66230_7152;42.64326224, 2.52272432664
Nuits du Blues;Hauts-de-France;Somme;80100;1995;Musique;Avant-saison (1er janvier - 20 juin);FEST_80001_4;50.1083582944, 1.83209170207
Journées cinéma espagnol et latino américain;Corse;Haute-Corse;20200;1987;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_2B033_646;42.6864768806, 9.42502133338
Grange;Grand Est;Marne;51210;1996;Musique;Saison (21 juin - 5 septembre);FEST_51050_750;48.8453830392, 3.59711725011
Festival du Cinéma Québécois de Biscarrosse;Nouvelle-Aquitaine;Landes;40600;2016;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_40046_833;44.409080109, -1.1773616947
Rencontres de la critique et de la culture;Hauts-de-France;Pas-de-Calais;62200;1998;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_62160_952;50.7271332663, 1.60756334802
Eure poétique et musicale;Normandie;Eure;27160;2008;Musique;Saison (21 juin - 5 septembre);FEST_27112_1062;48.8525387012, 0.899890466074
Còr de Gasconha;Occitanie;Gers;32800;2017;Musique;Saison (21 juin - 5 septembre);FEST_32119_2075;43.8607370613, 0.105730356401
Rue Dell Arte;Bretagne;Côtes-d'Armor;22510;2006;Musique;Saison (21 juin - 5 septembre);FEST_22079_2564;48.3866424703, -2.68322883028
Zéro 1;Nouvelle-Aquitaine;Charente-Maritime;17000;2016;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_17300_2839;46.1620643972, -1.17465702836
Les  Vacances de Monsieur Haydn;Nouvelle-Aquitaine;Vienne;86270;2005;Musique;Après-saison (6 septembre - 31 décembre);FEST_86207_2842;46.7754623113, 0.80240732874
c  ?;Bretagne;Côtes-d'Armor;22400;;Musique;;FEST_22093_2926;48.4684404751, -2.49534815954
Les Cogitations;Nouvelle-Aquitaine;Gironde;33185;2016;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_33200_3089;44.8690837903, -0.684443512134
L'étrange festival;Occitanie;Gers;32700;;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_32208_3216;43.9405030561, 0.650762392132
Festival de la musique mécanique;Auvergne-Rhône-Alpes;Haute-Savoie;74260;;Musique;Saison (21 juin - 5 septembre);FEST_74134_3255;46.1542288253, 6.66014566051
Le jardin électronique;Hauts-de-France;Nord;59000;2014;Musique;Après-saison (6 septembre - 31 décembre);FEST_59350_3342;50.6317183168, 3.04783272312
Causons Cases à Cousance;Bourgogne-Franche-Comté;Jura;39190;1990;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_39173_1858;46.5333527445, 5.37741644744
Chahut au Château;Bourgogne-Franche-Comté;Jura;39570;2014;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_39251_2391;46.6375986496, 5.50938673759
Experimenta;Auvergne-Rhône-Alpes;Isère;38000;2011;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_38185_2462;45.1821215167, 5.72133051752
La Rue Bucolique;Normandie;Manche;50440;2005;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_50041_2787;49.6631647329, -1.84267363083
Shake La Rochelle !;Nouvelle-Aquitaine;Charente-Maritime;17000;2016;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_17300_2836;46.1620643972, -1.17465702836
Météo;Grand Est;Haut-Rhin;68100;1983;Musique;Avant-saison (1er janvier - 20 juin);FEST_68224_4230;47.749163303, 7.32570047509
Ça Chauffe;Pays de la Loire;Maine-et-Loire;49610;2016;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_49223_4240;47.3952383531, -0.553551118702
Pierres Lyriques;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64190;2000;Musique;Saison (21 juin - 5 septembre);FEST_64416_4345;43.3288673351, -0.736425017112
Les toiles magiques;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6000;2015;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_06088_4401;43.7119992661, 7.23826889465
Ono'U;Polynésie française;;98713;2014;Arts visuels, arts numériques;Novembre;FEST_98735_7265;
Salon du livres et des métiers du livre;Occitanie;Gard;30500;2001;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_30227_5586;44.2524583659, 4.19418573198
Festi-jazz;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6510;;Musique;Saison (21 juin - 5 septembre);FEST_06118_5703;43.6594259137, 6.80329376165
Scènes d'été;Nouvelle-Aquitaine;Charente-Maritime;17700;2000;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_17434_6484;46.1044773827, -0.753715269757
Lève ton vers;Occitanie;Haute-Garonne;31300;2017;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_31555_6689;43.5963814303, 1.43167293364
Off-Courts Trouville;Normandie;Calvados;14360;2000;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_14715_6799;49.3721246762, 0.102123470052
Exil On Book Street;Grand Est;Aube;10000;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_10387_6803;48.2967099637, 4.07827967525
Pierres insolites;Occitanie;;;2020;Spectacle vivant;Saison (21 juin - 5 septembre);FEST__7258;
Overdrive;Hauts-de-France;Somme;80320;2010;Musique;Après-saison (6 septembre - 31 décembre);FEST_80186_1588;49.8169359721, 2.80153906029
Les soirées d'été;Provence-Alpes-Côte d'Azur;Vaucluse;84220;1984;Musique;Saison (21 juin - 5 septembre);FEST_84050_2417;43.909019241, 5.19801978618
Bobines rebelles;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5300;;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_05070_2991;44.3340345431, 5.81650957133
Remise à neuf;Occitanie;Hérault;34700;;Musique;Après-saison (6 septembre - 31 décembre);FEST_34268_5912;43.7101712397, 3.42987273184
Mai du livre;Occitanie;Hautes-Pyrénées;65000;1979;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_65440_6520;43.2347859635, 0.0660093937851
Printemps Musical;Pays de la Loire;Maine-et-Loire;49125;2007;Musique;Avant-saison (1er janvier - 20 juin);FEST_49347_6577;47.6245599519, -0.44344301136
Festival d'Alba;Auvergne-Rhône-Alpes;Ardèche;7400;2009;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_07005_98;44.5544439142, 4.59597695147
Festival mondial des théâtres de marionnettes de Charleville-Mézières;Grand Est;Ardennes;8000;1961;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_08105_1483;49.7752965803, 4.71724655966
Festival de guitare;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6690;;Musique;Après-saison (6 septembre - 31 décembre);FEST_06123_5967;43.6859625772, 7.18218791815
Yvoire jazz festival;Auvergne-Rhône-Alpes;Haute-Savoie;74140;2016;Musique;Saison (21 juin - 5 septembre);FEST_74315_7228;46.3635082871, 6.33214094024
Festiv'août;Occitanie;Tarn;81440;;Musique;saison (21 juin - 5 septembre);FEST_81139_3013;43.7052468491, 2.12929403349
Voix des merveilles;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6540;;Musique;Avant-saison (1er janvier - 20 juin);FEST_06023_1032;43.9404304718, 7.50391615024
Paris International Animation Film Festival - PIAFF;Île-de-France;Paris;75005;23/09/2019 00:00;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_75105_4825;48.8567, 2.3508
Intime festival;Centre-Val de Loire;Indre-et-Loire;37550;2008;Musique;Avant-saison (1er janvier - 20 juin);FEST_37208_5666;47.3571561121, 0.737544440483
Les Nuits Courtes;Pays de la Loire;Vendée;85200;2017;Musique;Après-saison (6 septembre - 31 décembre);FEST_85092_2262;46.4563186117, -0.793449510859
Festival Ciné en herbe;Auvergne-Rhône-Alpes;Allier;3100;31ème;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_03185_4054;46.3385883496, 2.60390499777
Hello Birds;Bretagne;Ille-et-Vilaine;35400;2017;Musique;Après-saison (6 septembre - 31 décembre);FEST_35288_6004;48.6400443482, -1.98060627256
Mois Molière;Île-de-France;Yvelines;78000;01/01/1996 00:00;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_78646_7011;48.8025669671, 2.11789297191
Festival des correspondances des arts;Hauts-de-France;Aisne;2220;2018;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_02110_1021;49.3484719318, 3.53596629744
Musicalium festival;Bourgogne-Franche-Comté;Saône-et-Loire;71200;2017;Musique;Avant-saison (1er janvier - 20 juin);FEST_71153_3068;46.8068539189, 4.42642301163
Les nuits flamencas d'aubagne;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13400;2015;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_13005_409;43.2934843764, 5.56331273477
Lire en Bastides;Nouvelle-Aquitaine;Dordogne;24150;2017;Livre, littérature;Saison (21 juin - 5 septembre);FEST_24223_2919;44.8557735546, 0.74158538401
Semaine de la marionnette;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6250;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_06085_4197;43.5961410556, 7.00129444919
Charivarues;Île-de-France;Val-de-Marne;94230;01/01/2015 00:00;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_94016_1132;48.7916121646, 2.33153313164
Festiv'idées;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5000;2011;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_05061_2351;44.5798600596, 6.06486052138
Jazz au sommet;Auvergne-Rhône-Alpes;Loire;42660;2007;Musique;Après-saison (6 septembre - 31 décembre);FEST_42224_5849;45.3472458116, 4.43132626452
Cosmos Arles books;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13200;2009;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_13004_341;43.5468692378, 4.66215642574
V and B Fest';Pays de la Loire;Mayenne;53200;2019;Musique;Saison (21 juin - 5 septembre);FEST_53062_1531;47.8290067122, -0.738721767875
Sulfure Festival;Île-de-France;Paris;75019;01/01/2019 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_75119_4872;48.8567, 2.3508
Mandopolis festival;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6830;2004;Musique;Saison (21 juin - 5 septembre);FEST_06024_1071;43.8649498097, 6.74501344628
Vive l'art rue !;Île-de-France;Val-de-Marne;94000;01/01/1999 00:00;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_94028_1886;48.7837401836, 2.45463530415
Corsica spirit;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13260;;Musique;Saison (21 juin - 5 septembre);FEST_13022_1301;43.2230470065, 5.55117810991
Festival national de théâtre amateur;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13000;1999;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_13055_3719;43.296346, 5.369889
Un Dimanche au Thabor;Bretagne;Ille-et-Vilaine;35000;;Musique;;FEST_35238_5412;48.1119791219, -1.68186449144
Fête de l'Eau de Wattwiller;Grand Est;Haut-Rhin;68700;01/01/1998 00:00;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_68359_7208;47.8421539165, 7.17527188812
Chaina'zik;Auvergne-Rhône-Alpes;Haute-Savoie;74540;2010;Musique;Après-saison (6 septembre - 31 décembre);FEST_74054_1395;45.7784395221, 5.98960566934
La Fête de la Lune;Île-de-France;Paris;75013;;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_75113_4746;48.8287176845, 2.36246822852
Mon échappée belle...;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13109;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_13107_6369;43.411551859, 5.43796924424
Festival des cultures urbaines;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6400;2016;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_06029_1216;43.5526202843, 7.00427592728
Festival de la Chaise-Dieu;Auvergne-Rhône-Alpes;Haute-Loire;43000;53ème;Musique;Saison (21 juin - 5 septembre);FEST_43157_3166;45.0276366659, 3.89535229067
Des clics & des livres;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13005;;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_13055_3703;43.296346, 5.369889
Des Notes et des Toiles;Grand Est;Meurthe-et-Moselle;54700;01/01/2015 00:00;Musique;Après-saison (6 septembre - 31 décembre);FEST_ 54431_5133;48.9219828048, 6.05392690748
Festival Trois ptits points;Occitanie;Ariège;9230;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_09261_5886;42.9752923045, 1.15326595533
Festival Berlioz;Auvergne-Rhône-Alpes;Isère;38700;1979;Musique;Saison (21 juin - 5 septembre);FEST_38516_2879;45.2104409255, 5.74343326974
Cocorico Electro;Centre-Val de Loire;Loiret;45240;2017;Musique;Saison (21 juin - 5 septembre);FEST_45146_2764;47.7119750833, 1.92714666074
Brikabrak;Nouvelle-Aquitaine;Dordogne;24260;2005;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_24067_3044;44.9264427991, 0.924662888033
Festirock en Belledonne;Auvergne-Rhône-Alpes;Isère;38190;2006;Musique;Avant-saison (1er janvier - 20 juin);FEST_38002_3239;45.2586070645, 5.99155979387
Légend'Air;Bretagne;Finistère;29260;;Musique;Après-saison (6 septembre - 31 décembre);FEST_29124_3280;48.5801251196, -4.31293757639
Rencontres littéraires de Nogaro;Occitanie;Gers;32110;2005;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_32296_4453;43.7612028008, -0.0306381303587
Balla boum;Corse;Haute-Corse;20253;2015;Musique;Saison (21 juin - 5 septembre);FEST_2B205_4910;42.7066867042, 9.3670488048
Salon du livre de Péronne;Hauts-de-France;Somme;80200;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_80620_4966;49.928328669, 2.93001266218
Usopop Festibala;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64310;2011;Musique;Après-saison (6 septembre - 31 décembre);FEST_64504_6240;43.296231493, -1.58652920554
Tiot Loupiot;Hauts-de-France;Pas-de-Calais;62160;2001;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_62019_80;50.4212424085, 2.71263968704
Les Accroche-coeurs;Pays de la Loire;Maine-et-Loire;49020;1999;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_49007_219;47.476837416, -0.556125995444
Algues au Rythme;Bretagne;Morbihan;56610;2007;Musique;Avant-saison (1er janvier - 20 juin);FEST_56003_368;47.6335958588, -2.8220328139
Festival international des langues et cultures du monde;Bourgogne-Franche-Comté;Doubs;25000;1986;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_25056_768;47.2553872249, 6.01948696494
Les rencontres musicales;Hauts-de-France;Nord;59400;2016;Musique;Saison (21 juin - 5 septembre);FEST_59122_1193;50.1702775977, 3.24221021072
L’ivre Jeunesse;Auvergne-Rhône-Alpes;Drôme;26750;2004;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_26087_1581;45.095956421, 5.13398617216
Salon du livre de Chaumont;Grand Est;Haute-Marne;52000;2002;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_52121_1590;48.0980144211, 5.14070044621
Festival du solo;Normandie;Calvados;14130;2010;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_14077_845;49.246735105, 0.283212958407
Biennale;Occitanie;Pyrénées-Orientales;66530;1986;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_66028_1124;42.6790392044, 2.94628633406
Festival d'humour du Ventoux;Provence-Alpes-Côte d'Azur;Vaucluse;84410;2018;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_84041_1891;44.1180400609, 5.15095331396
L'art et la vigne;Bourgogne-Franche-Comté;Saône-et-Loire;71480;2012;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_71157_1906;46.5047162667, 5.36399526057
Eclats, festival de la Voix au Pays de Dieulefit;Auvergne-Rhône-Alpes;Drôme;26160;18ème;Musique;Après-saison (6 septembre - 31 décembre);FEST_26114_1950;44.5310329912, 5.06528375642
Dinard Comedy Festival;Bretagne;Ille-et-Vilaine;35800;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_35093_2007;48.6241805945, -2.0619828606
Cuivro'Foliz;Occitanie;Gers;32500;;Musique;saison (21 juin - 5 septembre);FEST_32132_2230;43.8402794076, 0.64245586546
Combat;Bretagne;Morbihan;56120;;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_56091_2666;47.9544411983, -2.54877600621
Blues en Rade;Bretagne;Morbihan;56570;;Musique;Avant-saison (1er janvier - 20 juin);FEST_56118_3418;47.7303087589, -3.32842997885
Micro-mondes;Auvergne-Rhône-Alpes;Métropole de Lyon;69257;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_69166_3566;45.599294924, 4.58907052971
Circonvergence;La Réunion;La Réunion;97490;2017;Spectacle vivant;Octobre;FEST_97411_5729;-20.9329708192, 55.446867167
Cyclone BD;La Réunion;La Réunion;97400;2001;Livre, littérature;Décembre;FEST_97411_5731;-20.9329708192, 55.446867167
Biennale internationale du design de Saint-Étienne;Auvergne-Rhône-Alpes;Loire;42000;;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_42218_5808;45.4301235512, 4.37913997076
Ça va arriver près de chez vous;Pays de la Loire;Loire-Atlantique;44800;2019;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_44162_5895;47.2243762412, -1.63434818692
Festival pour lire;Auvergne-Rhône-Alpes;Isère;38070;2016;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_38449_6138;45.6396427762, 5.10856784756
Hintergrund;Grand Est;Bas-Rhin;67000;2019;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_67482_6444;48.5712679849, 7.76752679517
Voix et Route Romane;Grand Est;Bas-Rhin;67000;1992;Musique;Avant-saison (1er janvier - 20 juin);FEST_67482_6473;48.5712679849, 7.76752679517
Avec Ou Sans Fils;Centre-Val de Loire;Loir-et-Cher;41100;2013;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_41269_6974;47.8013026692, 1.06106057175
Parlez-moi d'humour;Bretagne;Ille-et-Vilaine;35500;2018;Livre, littérature;Saison (21 juin - 5 septembre);FEST_35360_7168;48.1140815063, -1.19370720718
Paper & Print;Bretagne;Finistère;29480;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_29235_3176;48.403174987, -4.40146737314
Biennale internationale d'art mural;Hauts-de-France;Nord;59000;2013;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_59350_3320;50.6317183168, 3.04783272312
Festival international du court-métrage;Hauts-de-France;Nord;59000;2000;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_59350_3330;50.6317183168, 3.04783272312
Festival des musiques d'été au château de Lourmarin;Provence-Alpes-Côte d'Azur;Vaucluse;84160;;Musique;Saison (21 juin - 5 septembre);FEST_84068_3470;43.7780333839, 5.36616174066
Journées BD;Provence-Alpes-Côte d'Azur;Vaucluse;84360;2015;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_84074_3863;43.7619243813, 5.20153482914
Festival de la Bohême;Occitanie;Haute-Garonne;31600;2008;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_31395_4236;43.4491077783, 1.30784679414
Les NoctamBals;Bretagne;Côtes-d'Armor;22200;2018;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_22162_4579;48.7733386239, -3.05459397042
Biennale des Photographes du Monde Arabe contemporain;Île-de-France;Paris;75005;2015;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_75105_4629;48.8567, 2.3508
PhotoSaintGermain;Île-de-France;Paris;75006;2010;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_75106_4836;48.8489680919, 2.33267089859
Heavy Metal Breizh;Bretagne;Morbihan;56930;;Musique;Avant-saison (1er janvier - 20 juin);FEST_56173_5085;47.9650479618, -2.98095397344
Dream Nation;Île-de-France;Seine-Saint-Denis;93200;2014;Musique;Après-saison (6 septembre - 31 décembre);FEST_93066_5732;48.9295650455, 2.3592429975
Théâtre en l'abbaye;Nouvelle-Aquitaine;Charente-Maritime;17400;2004;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_17347_5917;45.9427172637, -0.519834100838
